,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
36,9796215,804,UKR88459,88459,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,1,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces shelled Havrylivka, Kherson. Casualties unknown.",0,1674572556,UKR
40,9796219,804,UKR88463,88463,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Bohodukhivskyi,Zolochivska,Huriiv Kozachok,50.4198,35.9662,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Huriiv Kozachok, Kharkiv. Casualties unknown.",0,1674572556,UKR
44,9796223,804,UKR88467,88467,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Khotinska,Kindrativka,51.1409,34.7551,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Kindrativka, Sumy. Casualties unknown.",0,1674572556,UKR
46,9796225,804,UKR88469,88469,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Kozacha Lopan,50.3319,36.1936,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Kozacha Lopan, Kharkiv. Casualties unknown.",0,1674572556,UKR
67,9796246,804,UKR88490,88490,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Bilopilska,Pavlivka,51.2231,34.5161,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Pavlivka, Sumy. Casualties unknown.",0,1674572556,UKR
73,9796252,804,UKR88496,88496,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Popivka,50.4966,35.4525,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Popivka, Sumy. Casualties unknown.",0,1674572556,UKR
82,9796262,804,UKR88506,88506,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Strilecha,50.3014,36.3994,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Strilecha, Kharkiv. Casualties unknown.",0,1674572556,UKR
92,9796272,804,UKR88516,88516,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,1,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces shelled Zolota Balka, Kherson. Casualties unknown.",0,1674572557,UKR
108,9814937,804,UKR89240,89240,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,,,0,10,Europe,Ukraine,Zaporizhia,Berdianskyi,Berdianska,Berdiansk,46.7586,36.7845,1,Institute for the Study of War,Other,"On 15 January 2023, Ukrainian forces shelled Berdiansk, Zaporizhia region. Casualties unknown.",0,1675191966,UKR
110,9795811,804,UKR88055,88055,2023-01-14,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian air forces launched an airborne X-22 missile at Dnipro, Dnipropetrovsk. A civilian appartment building was hit. 46 civilians including children were killed and 80 civilians were injured.",46,1674572555,UKR
116,9795818,804,UKR88062,88062,2023-01-14,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-) Navy,8,,,0,80,Europe,Ukraine,Vinnytsia,Vinnytskyi,Vinnytska,Vinnytsia,49.2296,28.4659,3,Suspilne Media,National,"On 14 January 2023, Russian air forces launched 4 airborne X-101 missiles and ship-launched Kalibr missiles at Vinnytsia region (coded to Vinnytsia). 3 out of 4 Russian missiles were shot down by Ukrainian forces. No casualties.",0,1674572555,UKR
135,9796019,804,UKR88263,88263,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Sumy,Sumskyi,Khotinska,Kindrativka,51.1409,34.7551,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 14 January 2023, Russian forces fired mortars and artillery near Kindrativka, Sumy. Civilian infrastructure was damaged. 1 civilian was injured.",0,1674572556,UKR
136,9796020,804,UKR88264,88264,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Dnipropetrovsk,Kryvorizkyi,Kryvorizka,Kryvyi Rih,47.9093,33.3933,1,Suspilne Media,National,"On 14 January 2023, Russian forces launched 5 missiles at Kryvyi Rih, Dnipropetrovsk. 4 of 5 Russian missiles were shot down by Ukrainian forces. Civilian infrastructure was damaged. 1 civilian was killed and 1 civilian was injured.",1,1674572556,UKR
151,9796137,804,UKR88381,88381,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Bilopilska,Bilopillia,51.1483,34.3008,2,Suspilne Media,National,"On 14 January 2023, Russian forces shelled near Bilopillia, Sumy. Casualties unknown.",0,1674572556,UKR
161,9796147,804,UKR88391,88391,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Ivano-Frankivsk,Ivano-Frankivskyi,Ivano-Frankivsk,Ivano-Frankivsk,48.9215,24.7097,3,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces launched missiles at Ivano-Frankivsk region (coded to Ivano-Frankivsk). Ukrainian forces shot down 2 Russian missiles. Civilian infrastructure was damaged. Casualties unknown.",0,1674572556,UKR
163,9796149,804,UKR88393,88393,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces launched missiles at Kharkiv. Civilian infrastructure was damaged. Casualties unknown.",0,1674572556,UKR
165,9796151,804,UKR88395,88395,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kyiv,Buchanskyi,Makarivska,Kopyliv,50.4085,29.8947,1,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces shelled Kopyliv, Kyiv. Civilian infrastructure was damaged. No casualties.",0,1674572556,UKR
171,9796158,804,UKR88402,88402,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kyiv City,Kyiv,,Kyiv,50.4496,30.5224,1,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian forces launched C-400 missiles at Kyiv. Casualties unknown.",0,1674572556,UKR
172,9796159,804,UKR88403,88403,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,3,Suspilne Media,National,"On 14 January 2023, Russian forces launched rockets at Lviv region (coded to Lviv). 1 Russian missile was shot down by Ukrainian forces. Civilian infrastructure was damaged. No casualties.",0,1674572556,UKR
